Transaction_ID,Transaction_Amount,Merchant_Category,Device_Type,Location_Region,Login_Attempts,Is_International,Customer_Age,Account_Age_Days,Is_Fraud
TXN00087,301.20810588166876,Gaming,Mobile-iOS,Africa,0,0,35,135,0
TXN00088,436.5855662531775,Electronics,Desktop,Europe,0,0,36,2088,0
TXN00089,224.73603780209865,Gaming,Mobile-iOS,North America,1,0,65,3413,0
TXN00090,322.367206122923,Grocery,Desktop,South America,0,0,46,3554,0
TXN00091,559.7417108061918,Travel,Tablet,Asia,1,0,28,597,0
TXN00092,8.301072558611088,Travel,Desktop,North America,0,0,25,18,0
TXN00093,416.96596628703935,Travel,Tablet,Europe,1,0,35,523,0
TXN00094,64.7483827121882,Fashion,Desktop,Asia,0,0,32,1891,1
TXN00095,129.16285340883664,Gaming,Desktop,Africa,0,0,60,1269,0
TXN00096,318.6744881302772,Gaming,Desktop,Europe,0,0,73,2380,1
TXN00097,252.6329384607894,Gaming,Mobile-iOS,South America,1,0,68,2709,0
TXN00098,31.833749981184887,Fashion,Mobile-Android,Africa,0,0,59,1502,0
TXN00099,215.0269661060217,Travel,Mobile-Android,North America,2,0,45,3531,0
TXN00100,14.353358051048797,Gaming,Mobile-Android,Asia,0,0,64,1913,0
TXN00101,88.3440805389937,Dining,Tablet,North America,1,0,76,3213,0
TXN00102,335.1471161674825,Travel,Mobile-iOS,South America,0,0,49,2592,0
TXN00103,111.62007890449,Travel,Tablet,Europe,2,0,70,3302,0
TXN00104,183.1853783861103,Travel,Tablet,North America,0,0,28,1276,0
TXN00105,260.5092682597917,Fashion,Mobile-Android,Europe,1,0,56,2883,0
TXN00106,344.32836740767516,Gaming,Mobile-iOS,North America,1,0,78,857,0
TXN00107,285.8529991131447,Gaming,Mobile-Android,Africa,0,0,26,2282,0
TXN00108,1.4337821246032507,Fashion,Tablet,South America,0,0,28,2660,0
TXN00109,109.03401803814288,Grocery,Mobile-Android,Africa,1,0,38,1889,0
TXN00110,124.40217630543115,Grocery,Mobile-Android,Africa,1,0,43,692,0
TXN00111,11.419813191143332,Fashion,Tablet,Europe,1,0,35,2031,0
TXN00112,155.9337567795687,Electronics,Mobile-Android,South America,0,0,45,1947,0
TXN00113,187.18175847713857,Grocery,Mobile-Android,Africa,4,0,58,623,0
TXN00114,352.5798268272616,Grocery,Mobile-Android,South America,0,0,26,3431,0
TXN00115,568.8058368403373,Gaming,Mobile-iOS,South America,0,0,56,20,0
TXN00116,27.427085358442465,Grocery,Desktop,South America,1,0,59,937,0
TXN00117,52.38484760532243,Grocery,Desktop,North America,1,1,66,2335,0
TXN00118,215.26748343079376,Dining,Mobile-iOS,North America,2,0,41,2819,0
TXN00119,28.421956707544755,Fashion,Mobile-Android,Africa,1,0,40,2337,0
TXN00120,50.740820040963044,Electronics,Mobile-Android,North America,0,0,71,511,0
TXN00121,171.06856779915836,Grocery,Tablet,North America,1,0,62,1535,0
TXN00122,37.1511831477207,Fashion,Desktop,Africa,1,0,70,3289,0
TXN00123,304.8633027792841,Travel,Mobile-Android,Africa,0,0,31,2258,0
TXN00124,388.94804329514443,Gaming,Desktop,Europe,1,0,61,1076,1
TXN00125,6.850847842078569,Grocery,Mobile-Android,Asia,0,0,48,2925,0
TXN00126,152.13314428575012,Dining,Mobile-Android,Africa,1,1,43,2486,0
TXN00127,318.8619420279339,Fashion,Tablet,Europe,1,0,42,41,0
TXN00128,738.8964734886862,Fashion,Desktop,Africa,0,0,32,130,0
TXN00129,64.11230331614651,Gaming,Mobile-iOS,Asia,0,0,54,3199,0
TXN00130,37.049421617484896,Gaming,Mobile-iOS,North America,1,0,26,119,0
TXN00131,418.6284825784974,Grocery,Tablet,South America,0,0,34,1959,0
TXN00132,479.78057632700654,Fashion,Tablet,South America,1,1,69,576,0
TXN00133,44.01288171550408,Grocery,Tablet,Asia,0,0,79,1871,0
TXN00134,116.51078330124992,Fashion,Mobile-iOS,Europe,0,0,37,2487,0
TXN00135,254.04541561967292,Fashion,Tablet,North America,1,0,66,320,0
TXN00136,373.31189517454146,Gaming,Tablet,Europe,0,1,38,3618,1
TXN00137,36.85075775862796,Fashion,Tablet,Africa,0,1,23,675,0
TXN00138,218.70642068062924,Gaming,Mobile-iOS,North America,1,0,58,3016,0
TXN00139,329.88065822430235,Gaming,Mobile-Android,North America,0,0,34,2821,0
TXN00140,159.5745221635417,Grocery,Tablet,South America,0,0,33,1571,0
TXN00141,35.9968561774761,Travel,Mobile-Android,South America,0,0,55,3398,0
TXN00142,7.235062424315886,Travel,Desktop,South America,0,0,24,3214,0
TXN00143,66.12732837232645,Grocery,Desktop,Europe,2,0,42,2460,0
TXN00144,329.9174916755003,Grocery,Mobile-Android,Europe,0,0,54,3228,0
TXN00145,9.159843081361387,Travel,Tablet,Europe,1,0,27,3001,0
TXN00146,1.6500893130367358,Fashion,Desktop,Africa,0,0,46,2813,0
TXN00147,89.76326208595054,Dining,Tablet,South America,0,0,42,3120,1
TXN00148,13.147268596986676,Grocery,Desktop,North America,1,0,28,65,0
TXN00149,32.38295260255786,Travel,Mobile-iOS,North America,0,0,57,2476,0
TXN00150,4.692699113223905,Travel,Mobile-iOS,Africa,0,0,37,2206,0
TXN00151,148.77016629843496,Electronics,Desktop,North America,1,1,64,468,0
TXN00152,238.6038707257003,Gaming,Mobile-Android,Europe,1,0,46,2150,0
TXN00153,111.39258453404884,Fashion,Desktop,Asia,0,0,34,3045,0
TXN00154,28.905863140717734,Gaming,Mobile-Android,Asia,0,0,18,3088,0
TXN00155,80.50106181632404,Fashion,Desktop,South America,0,0,67,3107,0
TXN00156,178.48840447169187,Travel,Tablet,South America,1,0,59,3409,0
TXN00157,564.8990291931135,Travel,Mobile-Android,Europe,0,0,18,2287,0
TXN00158,980.1155828601487,Grocery,Mobile-iOS,Asia,2,0,73,2362,0
TXN00159,55.30963476951454,Grocery,Mobile-iOS,South America,1,0,21,3016,0
TXN00160,2.1272544129576896,Gaming,Desktop,Africa,0,0,20,1120,0
TXN00161,355.14611540290326,Dining,Desktop,Europe,0,0,36,1756,0
TXN00162,522.4015245590405,Gaming,Mobile-Android,Asia,0,1,21,897,0
TXN00163,122.7206658347693,Gaming,Mobile-iOS,Asia,0,0,66,833,0
TXN00164,295.1933558182483,Travel,Desktop,Asia,1,0,71,2899,0
TXN00165,402.2803824427702,Dining,Mobile-Android,Africa,0,0,56,488,0
TXN00166,188.1242661463428,Grocery,Mobile-Android,Europe,1,0,32,3048,0
TXN00167,412.12738541781437,Gaming,Mobile-iOS,Africa,0,0,49,702,0
TXN00168,4.838667808808584,Gaming,Tablet,Europe,0,0,75,2222,0
TXN00169,63.37967383563415,Gaming,Mobile-Android,Europe,0,1,65,724,0
TXN00170,64.92996269132277,Electronics,Mobile-Android,Europe,0,0,32,740,0
TXN00171,25.710459681126334,Grocery,Desktop,Europe,0,1,26,258,0
TXN00172,483.18089327453464,Gaming,Tablet,South America,0,0,77,3275,0
TXN00173,6.182432457169752,Grocery,Mobile-Android,Africa,0,0,22,2164,0
TXN00174,223.2907181915862,Travel,Mobile-iOS,North America,0,0,58,362,0
TXN00175,14.802451063881799,Dining,Mobile-Android,Africa,0,0,31,166,0
TXN00176,89.50147367786889,Travel,Mobile-Android,Africa,1,0,74,3044,0
TXN00177,108.2911762814814,Grocery,Desktop,Asia,0,0,32,598,0
TXN00178,40.032990888163724,Gaming,Desktop,South America,1,0,51,2923,0
TXN00179,147.21682503650038,Gaming,Desktop,Europe,0,0,23,149,0
TXN00180,153.14003102343207,Fashion,Tablet,Europe,0,0,50,2452,0
TXN00181,76.26493405677527,Dining,Tablet,Africa,0,0,72,2767,0
TXN00182,267.187226013307,Grocery,Desktop,North America,0,0,27,3606,0
TXN00183,34.91887624086687,Fashion,Desktop,Europe,0,0,26,915,0
TXN00184,42.764480443116625,Electronics,Desktop,South America,0,0,44,3253,1
TXN00185,87.54942757011528,Travel,Mobile-Android,Europe,1,0,42,1913,0
TXN00186,95.0840170570367,Dining,Tablet,Asia,1,0,62,3397,0
TXN00187,46.20638066794447,Electronics,Desktop,South America,0,0,21,2003,0
TXN00188,501.9444986441755,Electronics,Mobile-iOS,Asia,0,0,42,279,0
TXN00189,352.1609918378291,Gaming,Mobile-Android,Europe,1,1,37,126,1
TXN00190,22.606136656291234,Travel,Mobile-iOS,South America,0,0,21,325,0
TXN00191,92.2439570921787,Electronics,Mobile-iOS,Africa,1,1,55,2839,0
TXN00192,52.96795005546192,Fashion,Mobile-iOS,Africa,0,0,39,572,1
TXN00193,119.96000449927881,Travel,Mobile-Android,Asia,0,0,39,367,0
TXN00194,64.68041701849107,Grocery,Mobile-Android,Africa,0,0,72,3055,0
TXN00195,139.35350165637664,Fashion,Mobile-iOS,Asia,1,1,35,391,1
TXN00196,511.76184733151,Travel,Tablet,Europe,0,0,31,715,0
TXN00197,96.41884987909447,Fashion,Mobile-Android,Africa,1,0,68,2673,0
TXN00198,210.03776899141417,Grocery,Mobile-iOS,North America,0,0,41,256,0
TXN00199,181.08060029175877,Grocery,Mobile-iOS,South America,2,0,66,3180,0
TXN00200,278.827859377611,Dining,Mobile-Android,South America,1,0,60,3145,0
TXN00201,12.729720549391468,Electronics,Tablet,Africa,1,0,75,21,0
TXN00202,273.1600994050626,Travel,Desktop,South America,1,0,27,80,0
TXN00203,584.778818869785,Electronics,Mobile-iOS,Europe,0,0,72,2793,0
TXN00204,185.04588852372737,Grocery,Tablet,Africa,1,0,45,3040,0
TXN00205,67.81751452013782,Fashion,Mobile-Android,North America,0,0,46,3444,0
TXN00206,223.17359411574037,Gaming,Mobile-iOS,Africa,2,0,72,97,0
TXN00207,248.99284234845106,Dining,Tablet,Asia,0,0,21,2458,0
TXN00208,213.68469031150175,Fashion,Desktop,Africa,0,0,73,681,0
TXN00209,31.782808323825655,Gaming,Desktop,Europe,1,1,58,3078,0
TXN00210,725.9378037279973,Dining,Tablet,Asia,0,0,65,647,0
TXN00211,621.9300906732861,Travel,Tablet,Asia,0,0,66,2112,0
TXN00212,110.54684056847289,Fashion,Tablet,Europe,3,0,29,79,0
TXN00213,180.10184815942057,Grocery,Mobile-iOS,Europe,1,0,25,590,0
TXN00214,8.087033425126958,Travel,Tablet,Europe,1,0,55,3504,0
TXN00215,895.4316543736969,Fashion,Tablet,Europe,2,0,59,32,0
TXN00216,341.57007174460625,Travel,Mobile-iOS,Europe,0,0,22,908,0
TXN00217,202.39648522548964,Dining,Mobile-Android,Europe,1,0,57,935,0
TXN00218,286.3292736523603,Electronics,Desktop,Europe,0,0,50,2808,0
TXN00219,41.6583594720109,Electronics,Mobile-Android,North America,0,0,46,2473,0
TXN00220,73.53406012647193,Fashion,Tablet,Asia,0,0,18,3236,0
TXN00221,56.577024390419815,Grocery,Desktop,Europe,0,0,35,542,0
TXN00222,181.29239857623435,Fashion,Desktop,Asia,1,0,27,1483,0
TXN00223,19.281223500974306,Electronics,Mobile-Android,Europe,0,0,79,588,0
TXN00224,451.9242503858087,Electronics,Desktop,South America,1,0,63,680,0
TXN00225,124.08195079782105,Grocery,Mobile-Android,South America,0,1,55,2452,0
TXN00226,117.689828241796,Travel,Desktop,Europe,0,0,29,2579,0
TXN00227,22.12180937610126,Gaming,Mobile-iOS,Africa,1,1,46,1002,0
TXN00228,230.97560845950707,Fashion,Tablet,Africa,1,0,28,1896,0
TXN00229,339.53800559243535,Dining,Tablet,South America,0,1,34,410,0
TXN00230,198.6074517936724,Gaming,Desktop,Africa,1,0,56,2974,0
TXN00231,55.42034378702302,Gaming,Mobile-iOS,Europe,0,0,30,1095,0
TXN00232,307.81520251200345,Electronics,Mobile-iOS,Europe,1,0,53,18,0
TXN00233,31.489756976429312,Dining,Mobile-iOS,South America,1,0,22,1453,0
TXN00234,351.21244776610456,Fashion,Mobile-iOS,Europe,0,1,57,883,0
TXN00235,173.83628668122753,Fashion,Desktop,Asia,0,0,75,819,0
TXN00236,68.32146698181549,Gaming,Tablet,North America,0,0,44,2142,0
TXN00237,143.9982150357392,Fashion,Mobile-Android,Africa,1,0,23,2880,0
TXN00238,198.23055314854125,Travel,Mobile-iOS,Europe,1,0,33,3613,0
TXN00239,59.8401648144222,Grocery,Mobile-iOS,North America,0,0,65,158,0
TXN00240,375.34136561058233,Fashion,Desktop,North America,1,0,58,2327,0
TXN00241,109.37821630982656,Electronics,Mobile-iOS,Asia,0,0,46,3036,1
TXN00242,445.7507095682661,Fashion,Mobile-Android,South America,0,0,42,1014,0
TXN00243,360.9307218786391,Grocery,Desktop,North America,0,1,78,33,0
TXN00244,20.927158812978842,Electronics,Mobile-iOS,Europe,0,0,30,2721,0
TXN00245,207.83528938170784,Grocery,Tablet,North America,0,0,79,619,0
TXN00246,74.35614028511544,Grocery,Desktop,Europe,0,0,61,1572,1
TXN00247,280.5280028667615,Fashion,Tablet,South America,0,0,73,754,0
TXN00248,156.45324230480207,Grocery,Desktop,South America,0,0,78,1124,0
TXN00249,122.34989352018893,Electronics,Desktop,Europe,0,0,66,2257,0
TXN00250,451.4588460624016,Grocery,Tablet,Africa,1,0,50,1430,0
TXN00251,11.791583765103995,Grocery,Desktop,Europe,1,0,42,3064,0
TXN00252,162.98055090228516,Electronics,Desktop,Asia,1,0,42,1362,0
TXN00253,79.47293089912353,Travel,Desktop,Africa,0,0,32,817,0
TXN00254,7.182093566358444,Grocery,Mobile-Android,North America,1,0,40,1260,0
TXN00255,280.093682981076,Fashion,Mobile-iOS,Europe,0,0,75,2079,0
TXN00256,164.98888688030516,Gaming,Mobile-iOS,South America,0,0,66,3049,0
TXN00257,449.1376458105763,Travel,Mobile-iOS,Asia,0,0,48,1615,0
TXN00258,182.39064428359143,Travel,Desktop,Europe,1,0,28,2791,0
TXN00259,82.20639872953606,Electronics,Mobile-iOS,Asia,0,1,20,1497,0
TXN00260,842.8914094118239,Grocery,Mobile-iOS,North America,1,0,67,1911,0
TXN00261,24.59495929778293,Gaming,Tablet,Africa,2,0,75,38,0
TXN00262,10.807145564317516,Dining,Tablet,Europe,0,1,40,1428,0
TXN00263,263.81831055897464,Gaming,Mobile-Android,Asia,0,0,54,1611,0
TXN00264,92.68503076106612,Gaming,Mobile-Android,Asia,0,0,51,1598,0
TXN00265,89.71578243518226,Electronics,Mobile-iOS,Europe,2,0,62,138,0
TXN00266,418.3549066503434,Gaming,Tablet,Asia,1,0,20,519,0
TXN00267,79.28927384865261,Grocery,Mobile-iOS,North America,0,1,29,2153,0
TXN00268,439.6244704344912,Travel,Mobile-iOS,Asia,0,0,23,267,0
TXN00269,206.55815649937276,Travel,Mobile-iOS,North America,0,0,61,964,0
TXN00270,79.81199612665463,Dining,Mobile-iOS,North America,1,0,30,873,0
TXN00271,12.275670222450696,Electronics,Desktop,Africa,0,0,20,2971,0
TXN00272,56.23647563153059,Fashion,Desktop,South America,0,0,70,2285,0
TXN00273,691.0032011404368,Grocery,Mobile-Android,Asia,0,0,58,962,0
TXN00274,103.92875803062161,Grocery,Tablet,Africa,0,0,43,2550,0
TXN00275,34.87864459843525,Gaming,Mobile-Android,Europe,0,0,72,3582,1
TXN00276,70.76814972798441,Gaming,Mobile-Android,North America,0,0,55,363,0
TXN00277,459.6703708837189,Travel,Mobile-Android,Africa,0,0,18,3209,0
TXN00278,36.059133780303576,Travel,Mobile-Android,Asia,0,0,22,3476,0
TXN00279,300.8895529813699,Dining,Tablet,North America,0,0,44,1406,0
TXN00280,28.97385775989667,Grocery,Mobile-Android,South America,0,0,61,187,0
TXN00281,650.8680302939608,Gaming,Desktop,North America,0,0,69,730,1
TXN00282,151.09193429417985,Electronics,Mobile-iOS,Europe,1,1,63,960,0
TXN00283,8.825894890818413,Travel,Tablet,South America,0,0,67,1060,0
TXN00284,534.598429133555,Travel,Tablet,Africa,1,0,73,3496,0
TXN00285,88.70367047495216,Dining,Mobile-Android,Asia,0,0,52,3187,0
TXN00286,262.9222439101149,Grocery,Mobile-iOS,South America,2,1,59,1492,0
TXN00287,148.344839705223,Fashion,Desktop,North America,0,0,69,3151,1
TXN00288,19.430371622531677,Dining,Desktop,Europe,1,0,28,942,0
TXN00289,22.423149079829326,Gaming,Tablet,North America,0,0,60,2923,0
TXN00290,32.321504447841875,Travel,Desktop,South America,1,0,48,297,0
TXN00291,35.156598188501285,Electronics,Mobile-Android,North America,2,0,78,2705,0
TXN00292,10.83966896626953,Travel,Tablet,Asia,1,0,51,2790,0
TXN00293,9.630837945720028,Dining,Desktop,South America,1,0,35,2222,0
TXN00294,592.9564260274382,Fashion,Mobile-Android,South America,0,0,71,465,0
TXN00295,19.146247485044086,Electronics,Tablet,North America,1,0,44,1166,0
TXN00296,141.99832129277718,Dining,Tablet,North America,0,0,66,1742,0
TXN00297,25.255512021916875,Electronics,Mobile-iOS,Europe,1,0,41,1277,0
TXN00298,48.36026889484905,Gaming,Mobile-Android,South America,0,0,18,2688,0
TXN00299,287.99985773154197,Fashion,Tablet,Europe,0,1,37,1803,0
TXN00300,556.5595588763426,Grocery,Desktop,South America,1,0,70,684,0
TXN00301,126.86726677666127,Gaming,Tablet,South America,0,0,72,908,0
TXN00302,1.1315859719390027,Travel,Mobile-Android,North America,1,1,69,129,0
TXN00303,1428.2659581512398,Gaming,Tablet,North America,0,0,36,1469,0
TXN00304,9.790410118512908,Fashion,Tablet,Europe,0,0,73,700,0
TXN00305,98.67833115774819,Dining,Mobile-iOS,Africa,0,0,39,673,0
TXN00306,154.89604770420019,Grocery,Desktop,North America,0,0,73,2253,0
TXN00307,444.6317843989045,Travel,Mobile-Android,South America,2,0,52,2835,0
TXN00308,346.44782926048697,Electronics,Tablet,Europe,1,0,65,3166,0
TXN00309,188.00741200195395,Gaming,Mobile-Android,Europe,2,0,75,2210,0
TXN00310,101.6997635678926,Gaming,Tablet,Africa,1,0,21,2327,0
TXN00311,359.7311014618245,Fashion,Mobile-Android,Europe,0,0,65,1050,0
TXN00312,406.6007504246515,Fashion,Tablet,Asia,0,0,30,2104,0
TXN00313,410.99647590501525,Electronics,Desktop,Asia,0,0,69,1700,0
TXN00314,252.9119604544868,Fashion,Tablet,Africa,0,1,60,2092,1
TXN00315,20.581005230006685,Fashion,Tablet,South America,1,0,29,1658,0
TXN00316,70.92952239723542,Travel,Tablet,North America,0,0,79,1363,0
TXN00317,133.07607659514943,Travel,Mobile-Android,Africa,0,0,21,1584,0
TXN00318,140.66106695071943,Fashion,Mobile-Android,South America,0,0,70,1508,0
TXN00319,357.8007492296441,Fashion,Mobile-iOS,Africa,0,0,19,1294,0
TXN00320,54.318907699149186,Travel,Mobile-Android,North America,0,0,28,80,0
TXN00321,218.48077350134596,Gaming,Tablet,Europe,0,0,38,793,0
TXN00322,93.74485677912989,Travel,Tablet,Asia,0,0,79,3167,0
TXN00323,298.7603721811238,Dining,Mobile-Android,North America,0,0,54,3514,0
TXN00324,43.575072853098646,Gaming,Mobile-iOS,Africa,1,0,73,2259,0
TXN00325,129.49228731664408,Fashion,Mobile-iOS,Europe,2,0,46,3281,0
TXN00326,21.864466295568462,Grocery,Tablet,North America,1,0,50,1842,0
TXN00327,47.64894396552126,Fashion,Mobile-Android,Europe,1,1,54,3306,1
TXN00328,547.2118218139226,Electronics,Mobile-iOS,South America,1,0,50,3604,0
TXN00329,75.97324774860483,Travel,Tablet,Europe,0,0,70,2790,0
TXN00330,446.9423105128832,Fashion,Desktop,Asia,0,0,44,1982,0
TXN00331,148.59487319397715,Gaming,Tablet,North America,0,0,75,476,0
TXN00332,7.963073491869281,Dining,Mobile-iOS,North America,2,0,21,2326,0
TXN00333,314.98959969821794,Electronics,Mobile-Android,Europe,0,0,18,378,0
TXN00334,10.671061698257077,Dining,Mobile-iOS,South America,1,0,73,2433,0
TXN00335,350.82746242158754,Fashion,Mobile-Android,Africa,0,0,38,3517,0
TXN00336,1.767610294514003,Fashion,Mobile-iOS,Asia,0,0,18,736,0
TXN00337,224.23989017331,Electronics,Mobile-Android,North America,3,0,33,515,0
TXN00338,36.235783909589244,Electronics,Mobile-iOS,South America,0,0,72,1713,0
TXN00339,83.97627644364238,Travel,Mobile-iOS,North America,0,0,36,1241,0
TXN00340,610.4664289912726,Dining,Desktop,South America,0,0,34,2916,0
TXN00341,133.19726892014862,Grocery,Mobile-Android,South America,2,0,25,3591,0
TXN00342,214.25374210816645,Fashion,Mobile-Android,Africa,1,0,75,3522,0
TXN00343,269.9809891246335,Grocery,Mobile-iOS,Europe,0,0,24,3090,0
TXN00344,23.290578858226876,Dining,Tablet,Asia,0,0,56,1615,0
TXN00345,365.0166269615601,Grocery,Desktop,South America,0,0,53,2165,0
TXN00346,490.4954941405295,Electronics,Tablet,Asia,0,1,59,3192,0
TXN00347,33.78331780129207,Grocery,Mobile-Android,North America,0,0,27,1740,0
